bucket,vol_state,side,target_atr,stop_atr,horizon,n,target,stop,target_max,stop_min,open_pnl,cost_atr,p_target,p_target_max,p_stop,p_neither,ev_barrier,ev_open,ev_lo,ev_hi,cost,p_null,ev_null,ev_delta,lift,mde,thin,beats_mde,passes,undecided,ev_mirror,ev_sym
"(14.0, inf]",EXPANDING,1,3.0,1.5,30,2551,129,703,129,703,853.0776223278558,61.10121343036764,0.05056840454723638,0.05056840454723638,0.275578204625637,0.6738533908271267,-0.2616620932967464,0.3344091032253453,0.048795142648956555,0.048795142648956555,0.023951867279642353,0.042869796279893714,0.011561130803209977,0.03723401184574658,0.0076986082673426645,0.05451340487603949,False,False,False,False,-0.06978917879653508,-0.010497018073789263
"(14.0, inf]",STABLE,1,3.0,1.5,60,2218,226,856,226,856,769.108693353346,56.16247469205734,0.1018935978358882,0.1018935978358882,0.3859332732191163,0.5121731289449956,-0.2732191163210099,0.34675775173730655,0.04821741147939073,0.04821741147939073,0.025321223936905925,0.10522561084358838,0.02955865299888221,0.01865875848050852,-0.0033320130077001825,0.12388281713630883,False,False,False,False,-0.1820758909789012,-0.06692923974975523
"(10.0, 14.0]",CONTRACTING,1,4.0,0.75,30,1665,23,880,23,880,711.3007803365794,63.50327803363372,0.013813813813813814,0.013813813813813814,0.5285285285285285,0.45765765765765765,-0.34114114114114114,0.42720767587782543,0.047926427809576955,0.047926427809576955,0.03814010692710734,0.014791464597478177,-0.021729444164780835,0.0696558719743578,-0.0009776507836643626,0.023729223168343517,False,False,False,False,-0.06264317778000761,-0.007358374985215327
"(10.0, 14.0]",CONTRACTING,1,3.0,1.5,30,1665,68,444,68,444,604.8060592250476,63.50327803363372,0.04084084084084084,0.04084084084084084,0.26666666666666666,0.6924924924924925,-0.2774774774774775,0.363246882417446,0.04762929801286122,0.04762929801286121,0.03814010692710734,0.049466537342386034,-0.0004886335647507834,0.048117931577612,-0.008625696501545196,0.06496556873271873,False,False,False,False,-0.10428479207128055,-0.028327747029209666
"(10.0, 14.0]",CONTRACTING,1,2.0,1.5,30,1665,253,442,253,442,299.3647755541242,63.50327803363372,0.15195195195195196,0.15195195195195196,0.26546546546546546,0.5825825825825826,-0.0942942942942943,0.179798663996471,0.04736426277506936,0.04736426277506936,0.03814010692710734,0.15834141610087293,0.006361619759492997,0.041002643015576365,-0.00638946414892097,0.1838663314179614,False,False,False,False,-0.12099024910312649,-0.036812993164028564
"(14.0, inf]",CONTRACTING,-1,3.0,1.0,15,858,23,240,23,240,233.17250809263226,22.028981079620134,0.026806526806526808,0.026806526806526808,0.27972027972027974,0.6934731934731935,-0.1993006993006993,0.27176282994479284,0.04678732752099315,0.046787327520993155,0.02567480312310039,0.026529890343119915,-0.030475808239391534,0.07726313576038468,0.00027663646340689296,0.04311928535240393,False,False,False,False,-0.07168474030380136,-0.012448706391404104
"(14.0, inf]",CONTRACTING,-1,2.0,1.5,30,855,177,208,177,208,19.950997377965052,21.95308796592333,0.20701754385964913,0.20701754385964913,0.2432748538011696,0.5497076023391814,0.04912280701754386,0.023334499857269066,0.04678118059887921,0.04678118059887921,0.02567612627593372,0.17661647475642162,-0.06289464696526513,0.10967582756414435,0.030401069103227513,0.21398195200642575,False,False,False,False,-0.08954862535979752,-0.021383722380459155
"(14.0, inf]",STABLE,1,1.0,1.5,60,2218,1239,700,1242,697,-30.198894990821397,56.16247469205734,0.5586113615870153,0.5599639314697926,0.3155996393146979,0.12578899909828678,0.08521190261496844,-0.01361537195257953,0.04627530672548298,0.04965673143242618,0.025321223936905925,0.5500267522739433,0.03163880763491074,0.014636499090572241,0.008584609313072034,0.5795520846020927,False,False,False,False,-0.09539105193340587,-0.024557872603961445
"(14.0, inf]",CONTRACTING,-1,3.0,0.5,30,855,63,587,63,587,165.57654852743187,21.95308796592333,0.07368421052631578,0.07368421052631578,0.6865497076023391,0.23976608187134507,-0.12222222222222222,0.19365678190342908,0.04575843340527314,0.04575843340527314,0.02567612627593372,0.0533215234720992,-0.04039359894609836,0.0861520323513715,0.02036268705421658,0.07600908062043603,False,False,False,False,-0.0811866802639308,-0.01771412342932883
"(14.0, inf]",CONTRACTING,-1,2.0,0.75,30,855,159,462,159,462,89.20276885809284,21.95308796592333,0.18596491228070175,0.18596491228070175,0.5403508771929825,0.27368421052631575,-0.03333333333333333,0.10433072381063489,0.045321264201367846,0.045321264201367846,0.02567612627593372,0.15199291408325952,-0.0384485224348483,0.08376978663621615,0.03397199819744223,0.18728677077055977,False,False,False,False,-0.0394352454267806,0.002943009387293624
