price,buy_vol,sell_vol,delta,total_vol
3998.2,99,113,-14,212
3998.1,141,122,19,263
3998.0,240,276,-36,516
3997.9,163,96,67,259
3997.8,130,114,16,244
3997.7,135,129,6,264
3997.6,116,108,8,224
3997.5,121,125,-4,246
3997.4,129,116,13,245
3997.3,116,173,-57,289
3997.2,115,129,-14,244
3997.1,128,138,-10,266
3997.0,168,187,-19,355
3996.9,137,116,21,253
3996.8,119,113,6,232
3996.7,107,131,-24,238
3996.6,172,129,43,301
3996.5,157,176,-19,333
3996.4,114,132,-18,246
3996.3,109,114,-5,223
3996.2,118,138,-20,256
3996.1,102,128,-26,230
3996.0,164,198,-34,362
3995.9,131,91,40,222
3995.8,111,92,19,203
3995.7,137,152,-15,289
3995.6,115,116,-1,231
3995.5,101,134,-33,235
3995.4,110,111,-1,221
3995.3,103,104,-1,207
3995.2,130,139,-9,269
3995.1,96,131,-35,227
3995.0,159,182,-23,341
3994.9,96,108,-12,204
3994.8,131,123,8,254
3994.7,92,88,4,180
3994.6,95,108,-13,203
3994.5,92,93,-1,185
3994.4,115,84,31,199
3994.3,97,90,7,187
3994.2,102,78,24,180
3994.1,109,111,-2,220
3994.0,176,131,45,307
3993.9,154,144,10,298
3993.8,160,101,59,261
3993.7,129,109,20,238
3993.6,110,120,-10,230
3993.5,99,146,-47,245
3993.4,109,105,4,214
3993.3,112,88,24,200
3993.2,106,102,4,208
3993.1,109,105,4,214
3993.0,130,135,-5,265
3992.9,114,113,1,227
3992.8,102,120,-18,222
3992.7,116,131,-15,247
3992.6,149,139,10,288
3992.5,147,135,12,282
3992.4,157,136,21,293
3992.3,174,140,34,314
3992.2,142,162,-20,304
3992.1,154,143,11,297
3992.0,171,228,-57,399
3991.9,138,98,40,236
3991.8,101,109,-8,210
3991.7,94,127,-33,221
3991.6,134,126,8,260
3991.5,96,100,-4,196
3991.4,103,123,-20,226
3991.3,119,101,18,220
3991.2,114,129,-15,243
3991.1,126,134,-8,260
3991.0,123,182,-59,305
3990.9,109,98,11,207
3990.8,92,139,-47,231
3990.7,73,120,-47,193
3990.6,104,100,4,204
3990.5,76,93,-17,169
3990.4,112,75,37,187
3990.3,82,65,17,147
3990.2,80,95,-15,175
3990.1,79,89,-10,168
3990.0,130,176,-46,306
3989.9,87,84,3,171
3989.8,80,107,-27,187
3989.7,124,90,34,214
3989.6,99,109,-10,208
3989.5,121,100,21,221
3989.4,84,81,3,165
3989.3,127,74,53,201
3989.2,98,92,6,190
3989.1,74,90,-16,164
3989.0,79,151,-72,230
3988.9,55,71,-16,126
3988.8,78,108,-30,186
3988.7,104,88,16,192
3988.6,114,49,65,163
3988.5,79,83,-4,162
3988.4,84,66,18,150
3988.3,66,86,-20,152
3988.2,105,104,1,209
3988.1,72,73,-1,145
3988.0,117,98,19,215
