month,bucket,phase,vol_state,side,target_atr,stop_atr,target_ticks,stop_ticks,horizon,n,ties,tie_rate,target_first,stop_first,unresolved,gap_ns_median
2025-01,"(0.0, 7.0]",Asia,STABLE,1,0.75,1.0,9.065842299664048,12.087789732885398,60,778,1,0.0012853470437017994,1,0,0,76329145278.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,0.75,1.5,9.065842299664048,18.131684599328096,15,778,1,0.0012853470437017994,1,0,0,76617020216.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,0.75,1.5,9.065842299664048,18.131684599328096,30,778,1,0.0012853470437017994,1,0,0,76617020216.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,0.75,1.5,9.065842299664048,18.131684599328096,60,778,1,0.0012853470437017994,1,0,0,76617020216.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.0,0.5,12.087789732885398,6.043894866442699,15,778,10,0.012853470437017995,5,5,0,156208505144.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.0,0.5,12.087789732885398,6.043894866442699,30,778,10,0.012853470437017995,5,5,0,156208505144.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.0,0.5,12.087789732885398,6.043894866442699,60,778,10,0.012853470437017995,5,5,0,156208505144.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.0,0.75,12.087789732885398,9.065842299664048,15,778,5,0.006426735218508998,3,2,0,217397942938.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.0,0.75,12.087789732885398,9.065842299664048,30,778,5,0.006426735218508998,3,2,0,217397942938.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.0,0.75,12.087789732885398,9.065842299664048,60,778,5,0.006426735218508998,3,2,0,217397942938.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.0,1.0,12.087789732885398,12.087789732885398,15,778,2,0.002570694087403599,2,0,0,147675493975.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.0,1.0,12.087789732885398,12.087789732885398,30,778,2,0.002570694087403599,2,0,0,147675493975.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.0,1.0,12.087789732885398,12.087789732885398,60,778,2,0.002570694087403599,2,0,0,147675493975.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.0,1.5,12.087789732885398,18.131684599328096,15,778,1,0.0012853470437017994,1,0,0,73343359712.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.0,1.5,12.087789732885398,18.131684599328096,30,778,1,0.0012853470437017994,1,0,0,73343359712.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.0,1.5,12.087789732885398,18.131684599328096,60,778,1,0.0012853470437017994,1,0,0,73343359712.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.5,0.5,18.131684599328096,6.043894866442699,15,778,3,0.0038560411311053984,1,2,0,246863025164.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.5,0.5,18.131684599328096,6.043894866442699,30,778,3,0.0038560411311053984,1,2,0,246863025164.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.5,0.5,18.131684599328096,6.043894866442699,60,778,3,0.0038560411311053984,1,2,0,246863025164.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.5,0.75,18.131684599328096,9.065842299664048,15,778,1,0.0012853470437017994,0,1,0,244799715758.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.5,0.75,18.131684599328096,9.065842299664048,30,778,1,0.0012853470437017994,0,1,0,244799715758.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.5,0.75,18.131684599328096,9.065842299664048,60,778,1,0.0012853470437017994,0,1,0,244799715758.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.5,1.0,18.131684599328096,12.087789732885398,15,778,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.5,1.0,18.131684599328096,12.087789732885398,30,778,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.5,1.0,18.131684599328096,12.087789732885398,60,778,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.5,1.5,18.131684599328096,18.131684599328096,15,778,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,STABLE,1,1.5,1.5,18.131684599328096,18.131684599328096,30,778,0,0.0,0,0,0,
