instrument,bucket,phase,vol_state,side,target_atr,stop_atr,horizon,n,target,stop,target_max,stop_min,open_pnl,cost_atr,p_target,p_target_max,p_stop,p_neither,ev_barrier,ev_open,ev_lo,ev_hi,cost,p_null,ev_null,ev_delta,lift,mde,thin,beats_mde,passes,undecided,ev_mirror,ev_sym
GC,"(0.0, 7.0]",London-NY,EXPANDING,1,4.0,1.5,30,143,16,66,16,66,99.28327011313178,9.545462320908364,0.11188811188811189,0.11188811188811189,0.46153846153846156,0.42657342657342656,-0.24475524475524477,0.6942886021897328,0.382781872672891,0.382781872672891,0.06675148476159695,0.03917903330408576,-0.06547363871817265,0.4482555113910636,0.07270907858402613,0.09124556050324582,True,True,False,False,-0.08720425746861193,0.14778880760213953
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,3.0,0.75,30,107,19,57,19,57,32.636644970284095,7.1571529313375715,0.17757009345794392,0.17757009345794392,0.5327102803738317,0.28971962616822433,0.13317757009345793,0.30501537355405695,0.3713036639153881,0.3713036639153881,0.06688927973212684,0.07969328195933316,-0.06414630341561912,0.4354499673310072,0.09787681149861076,0.16090296496216083,True,True,False,False,-0.2782736520217786,0.046515005946804744
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,2.0,0.75,30,118,40,59,40,59,9.897445468969824,1.9944262608986256,0.3389830508474576,0.3389830508474576,0.5,0.1610169491525424,0.3029661016949153,0.08387665651669342,0.369940840746366,0.369940840746366,0.01690191746524259,0.16163606273149972,-0.022254169003376584,0.3921950097497426,0.1773469881159579,0.2621291109752456,True,True,False,False,-0.39004943034982065,-0.010054294801727315
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,1.5,1.5,60,107,68,37,68,37,-0.5998874733844349,7.1571529313375715,0.6355140186915887,0.6355140186915887,0.34579439252336447,0.018691588785046787,0.43457943925233644,-0.005606424984901261,0.36208373453530834,0.36208373453530834,0.06688927973212684,0.4533376020489835,-0.07478701581019724,0.4368707503455056,0.18217641664260525,0.5877129989485477,True,True,False,False,-0.495862293999562,-0.06688927973212683
GC,"(10.0, 14.0]",Asia-London,CONTRACTING,1,3.0,1.5,30,87,4,22,4,22,54.58964373229353,2.3529791711067642,0.04597701149425287,0.04597701149425287,0.25287356321839083,0.7011494252873564,-0.2413793103448276,0.6274671693367072,0.35904212139295133,0.3590421213929514,0.027045737598928324,0.06101779685741675,-0.043003437388335584,0.4020455587812869,-0.015040785363163875,0.1428928255556456,True,False,False,False,-0.3612131726939034,-0.001085525650476038
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,2.0,1.5,15,118,31,25,31,25,19.534721767459377,1.9944262608986256,0.2627118644067797,0.2627118644067797,0.211864406779661,0.5254237288135594,0.2076271186440678,0.1655484895547405,0.35627369073356563,0.35627369073356563,0.01690191746524259,0.10402447634737585,-0.016285745809100985,0.3725594365426666,0.15868738805940383,0.18947016159628655,True,True,False,False,-0.4059274353467676,-0.024826872306600994
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,3.0,1.0,15,118,10,39,11,38,52.77679727131327,1.9944262608986256,0.0847457627118644,0.09322033898305085,0.3305084745762712,0.5847457627118644,-0.07627118644067797,0.44726099382468876,0.35408788991876816,0.38798619500351395,0.01690191746524259,0.035223974268455326,-0.01976962560872936,0.3738575155274975,0.04952178844340908,0.09073983830769254,True,False,False,False,-0.28792839509958545,0.033079747409591354
GC,"(10.0, 14.0]",Asia-London,CONTRACTING,1,2.0,1.5,30,87,26,22,26,22,14.097286446442165,2.3529791711067642,0.2988505747126437,0.2988505747126437,0.25287356321839083,0.4482758620689654,0.21839080459770116,0.16203777524646168,0.35338284224523453,0.35338284224523453,0.027045737598928324,0.1700079189763681,-0.04671443287714882,0.40009727512238336,0.1288426557362756,0.2898796618190512,True,True,False,False,-0.24191484089784815,0.05573400067369319
GC,"(10.0, 14.0]",Asia-London,CONTRACTING,1,4.0,1.5,30,87,0,22,0,22,65.99724152289247,2.3529791711067642,0.0,0.0,0.25287356321839083,0.7471264367816092,-0.3793103448275862,0.7585889830217525,0.35223290059523793,0.352232900595238,0.027045737598928324,0.024382111449172676,-0.039636127446712584,0.3918690280419505,-0.024382111449172676,0.08147492721921243,True,False,False,False,-0.38195232616981867,-0.014859712787290369
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,1.5,1.0,30,118,57,46,60,43,3.564821662855416,1.9944262608986256,0.4830508474576271,0.5084745762711864,0.3898305084745763,0.12711864406779655,0.3347457627118644,0.0302103530750459,0.3480541983216677,0.411613520355566,0.01690191746524259,0.26877610528804474,-0.03181901654114404,0.3798732148628117,0.21427474216958237,0.38649193164896656,True,True,False,False,-0.3675978430038716,-0.009771822341101966
